,name,year,selling_price,km_driven,fuel,mileage(km/ltr/kg),engine,max_power,seats
2115,Maruti Alto LXi,2008,128000,19000,Petrol,19.7,796.0,46.3,5.0
2116,Honda City 1.5,2009,250000,68600,Petrol,17.0,1497.0,118.0,5.0
2117,Mahindra Bolero Power,2017,690000,60000,Diesel,16.5,1493.0,70.0,7.0
2118,Mahindra Bolero 2011-2019,2014,650000,65000,Diesel,15.96,2523.0,62.1,7.0
2119,Honda City E,2012,560000,40000,Petrol,16.8,1497.0,116.3,5.0
2120,Maruti Celerio VXI,2016,400000,25000,Petrol,23.1,998.0,67.04,5.0
2121,Maruti Alto K10,2012,200000,29500,Petrol,20.92,998.0,67.1,5.0
2122,Hyundai Verna VTVT,2018,950000,13887,Petrol,17.0,1591.0,121.3,5.0
2123,Maruti Alto 800,2016,300000,50000,Petrol,22.74,796.0,47.3,5.0
2124,Renault KWID RXL,2016,315000,30000,Petrol,25.17,799.0,53.3,5.0
2125,Maruti Alto 800,2012,220000,100000,Petrol,22.74,796.0,47.3,5.0
2126,Chevrolet Aveo 1.4,2011,130000,60000,Petrol,14.49,1399.0,92.7,5.0
2127,Hyundai i20 Sportz,2016,595000,60000,Diesel,22.54,1396.0,88.73,5.0
2128,Tata Indica Vista,2011,110000,120000,Diesel,19.4,1405.0,70.0,5.0
2129,Ford EcoSport 1.5,2017,680000,13500,Petrol,17.0,1497.0,121.36,5.0
2130,Fiat Grande Punto,2013,280000,52000,Diesel,20.3,1248.0,75.0,5.0
2131,Maruti Baleno Delta,2017,530000,30000,Petrol,21.4,1197.0,83.1,5.0
2132,Hyundai Xcent 1.2,2017,610000,14000,Petrol,19.1,1197.0,82.0,5.0
2133,Tata Aria Pure,2014,500000,90000,Diesel,15.05,2179.0,147.9,7.0
2134,Tata Tigor 1.05,2018,500000,50000,Diesel,24.7,1047.0,69.0,5.0
2135,Mahindra Xylo D2,2010,250000,120000,Diesel,13.0,2489.0,95.0,8.0
2136,Hyundai EON Magna,2018,325000,10000,Petrol,21.1,814.0,55.2,5.0
2137,Maruti Baleno Delta,2018,550000,10000,Petrol,21.4,1197.0,83.1,5.0
2138,Maruti Ciaz 1.4,2018,720000,25000,Petrol,20.73,1373.0,91.1,5.0
2139,Hyundai Verna VTVT,2017,950000,20000,Petrol,17.0,1591.0,121.3,5.0
2140,Maruti Swift VDI,2013,350000,60000,Diesel,22.9,1248.0,74.0,5.0
2141,Hyundai Grand i10,2018,500000,40000,Petrol,18.9,1197.0,81.86,5.0
2142,Maruti Swift Dzire,2012,380000,60000,Diesel,19.3,1248.0,73.9,5.0
2143,Hyundai Xcent 1.2,2015,380000,50000,Petrol,16.9,1197.0,82.0,5.0
2144,Hyundai Verna VTVT,2017,900000,20000,Petrol,17.0,1591.0,121.3,5.0
2145,Maruti Alto 800,2017,295000,35000,Petrol,24.7,796.0,47.3,5.0
2146,Maruti Ciaz VDi,2016,640000,40000,Diesel,28.09,1248.0,88.5,5.0
2147,Tata Nexon 1.5,2018,790000,60000,Diesel,21.5,1497.0,108.5,5.0
2148,Hyundai Verna 1.6,2015,625000,20000,Petrol,17.01,1591.0,121.4,5.0
2149,Ford EcoSport 1.5,2017,604000,30000,Petrol,17.0,1497.0,121.36,5.0
2150,Maruti Alto K10,2015,315000,29000,Petrol,23.95,998.0,67.05,5.0
2151,Mahindra XUV300 W6,2019,950000,17000,Diesel,20.0,1497.0,115.0,5.0
2152,Maruti Wagon R,2017,400000,50000,Petrol,20.51,998.0,67.04,5.0
2153,Hyundai i20 1.4,2018,700000,42000,Petrol,18.6,1368.0,98.63,5.0
2154,Toyota Innova 2.5,2011,700000,120000,Diesel,12.8,2494.0,102.0,8.0
2155,Mahindra Verito 1.5,2012,260000,110000,Diesel,21.03,1461.0,65.0,5.0
2156,Tata Indigo CR4,2012,200000,90000,Diesel,23.57,1396.0,70.0,5.0
2157,Maruti Dzire VXI,2020,580000,70000,Petrol,23.26,1197.0,88.5,5.0
2158,Volkswagen Vento IPL,2011,330000,66000,Diesel,20.5,1598.0,105.0,5.0
2159,Hyundai Verna Transform,2011,400000,70000,Diesel,16.2,1493.0,110.0,5.0
2160,Hyundai Creta 1.6,2018,1350000,5000,Petrol,14.8,1591.0,121.3,5.0
2161,Mahindra Verito 1.5,2014,250000,50000,Diesel,21.03,1461.0,65.0,5.0
2162,Skoda Rapid 1.6,2019,725000,25000,Petrol,15.41,1598.0,103.2,5.0
2163,Maruti Swift Dzire,2013,300000,70000,Diesel,23.4,1248.0,74.0,5.0
2164,Maruti 800 AC,2006,120000,40000,Petrol,16.1,796.0,37.0,4.0
2165,Mahindra XUV500 W10,2016,1175000,110000,Diesel,16.0,2179.0,140.0,7.0
2166,Tata New Safari,2009,380000,150000,Diesel,13.93,2179.0,138.0,7.0
2167,Tata Indica Vista,2014,400000,45000,Diesel,19.1,1405.0,70.0,5.0
2168,Tata Indigo LX,2005,140000,90000,Diesel,16.1,1405.0,70.0,5.0
2169,Tata New Safari,2011,229999,140000,Diesel,11.57,2179.0,138.1,7.0
2170,Ford Ikon 1.3,2003,110000,83000,Petrol,13.8,1299.0,70.0,5.0
2171,Volkswagen Jetta 2.0L,2011,550000,106000,Diesel,16.96,1968.0,138.1,5.0
2172,Chevrolet Aveo U-VA,2008,150000,60000,Petrol,15.26,1150.0,74.9,5.0
2173,Maruti Omni E,2017,265000,40000,Petrol,16.8,796.0,34.2,8.0
2174,Hyundai i20 1.2,2011,300000,138000,Petrol,17.0,1197.0,80.0,5.0
2175,Maruti Alto 800,2015,280000,80000,Petrol,22.74,796.0,47.3,5.0
2176,Hyundai Getz GLS,2005,130000,50000,Petrol,15.3,1341.0,83.0,5.0
2177,Chevrolet Sail 1.2,2015,350000,50000,Petrol,18.2,1199.0,82.4,5.0
2178,Maruti Ritz VXi,2009,200000,120000,Petrol,18.5,1197.0,85.8,5.0
2179,Maruti Swift VXI,2018,550000,24400,Petrol,22.0,1197.0,81.8,5.0
2180,Mahindra Bolero 2011-2019,2013,400000,60000,Diesel,15.96,2523.0,62.1,7.0
2181,Maruti Ritz VXi,2010,170000,120000,Petrol,18.5,1197.0,85.8,5.0
2182,Hyundai Verna 1.4,2015,600000,60000,Diesel,24.8,1396.0,88.7,5.0
2183,Maruti Alto LXi,2011,130000,100000,Petrol,19.7,796.0,46.3,5.0
2184,Maruti 800 AC,2011,100000,120000,Petrol,16.1,796.0,37.0,4.0
2185,Renault KWID RXT,2016,310000,27500,Petrol,25.17,799.0,53.3,5.0
2186,Maruti 800 AC,2007,35000,10000,Petrol,16.1,796.0,37.0,4.0
2187,Hyundai i20 Magna,2010,200000,120000,Petrol,18.5,1197.0,80.0,5.0
2188,Hyundai i20 Sportz,2015,650000,80000,Diesel,22.54,1396.0,88.73,5.0
2189,Tata Indigo eCS,2013,210000,120000,Petrol,15.64,1193.0,64.1,5.0
2190,Hyundai Xcent 1.1,2015,509999,90000,Diesel,24.4,1120.0,71.01,5.0
2191,Ford Figo Diesel,2013,229999,70000,Diesel,20.0,1399.0,68.1,5.0
2192,Renault Duster 110PS,2014,409999,188000,Diesel,19.01,1461.0,108.45,5.0
2193,Chevrolet Spark 1.0,2011,130000,67840,Petrol,18.0,995.0,62.0,5.0
2194,Tata Nano CX,2013,95000,30000,Petrol,25.4,624.0,37.48,4.0
2195,Maruti Alto 800,2016,225000,35000,Petrol,22.74,796.0,47.3,5.0
2196,Maruti Vitara Brezza,2017,775000,100000,Diesel,24.3,1248.0,88.5,5.0
2197,Maruti Wagon R,2017,420000,30000,Petrol,20.51,998.0,67.04,5.0
2198,Hyundai Grand i10,2016,480000,70000,Petrol,18.9,1197.0,82.0,5.0
2199,Mahindra Bolero SLE,2010,260000,380000,Diesel,13.6,2523.0,63.0,7.0
2200,Volkswagen Polo 2015-2019,2018,600000,15000,Petrol,16.2,1199.0,74.0,5.0
2201,Ford Ikon 1.4,2009,140000,140000,Diesel,13.8,1399.0,68.0,5.0
2202,Maruti Omni 8,2010,130000,120000,Petrol,19.7,796.0,35.0,8.0
2203,Maruti Swift VDI,2007,195000,112880,Diesel,25.2,1248.0,74.0,5.0
2204,Tata Indica Vista,2013,210000,135000,Diesel,19.4,1405.0,70.0,5.0
2205,Maruti Wagon R,2006,130000,80000,Petrol,18.9,998.0,67.1,5.0
2206,Chevrolet Beat LT,2012,141000,128000,Petrol,18.6,1199.0,79.4,5.0
2207,Mahindra Bolero SLE,2011,280000,120000,Diesel,13.6,2523.0,63.0,7.0
2208,Maruti SX4 ZXI,2010,350000,30000,Petrol,12.6,1586.0,103.2,5.0
2209,Tata Nexon 1.2,2018,575000,70000,Petrol,17.0,1198.0,108.5,5.0
2210,Hyundai i20 Sportz,2015,550000,41000,Petrol,18.6,1197.0,81.83,5.0
2211,Maruti Alto LX,2006,120000,30000,Petrol,19.7,796.0,46.3,5.0
2212,Maruti Alto K10,2015,320000,30000,Petrol,23.95,998.0,67.05,5.0
2213,Hyundai Accent Executive,2011,250000,35000,Petrol,16.36,1495.0,93.7,5.0
2214,Maruti SX4 Zxi,2010,300000,22000,Petrol,15.0,1586.0,104.68,5.0
2215,Maruti Wagon R,2006,250000,70000,Petrol,18.9,998.0,67.1,5.0
2216,Mahindra Bolero 2011-2019,2018,750000,70000,Diesel,16.5,1493.0,70.0,7.0
2217,Mahindra Scorpio 2.6,2005,151000,200000,Diesel,10.5,2179.0,120.0,8.0
2218,Tata Safari DICOR,2011,300000,120000,Diesel,13.93,2179.0,138.03,7.0
2219,Maruti Ignis 1.2,2019,577000,3000,Petrol,20.89,1197.0,81.8,5.0
2220,Maruti Alto K10,2012,229999,50000,Petrol,20.92,998.0,67.1,5.0
2221,Mahindra Bolero 2011-2019,2013,500000,50000,Diesel,15.96,2523.0,62.1,7.0
2222,Honda Jazz VX,2019,840000,1500,Petrol,18.2,1199.0,88.7,5.0
2223,Volkswagen Vento 1.5,2017,900000,74000,Diesel,22.27,1498.0,108.6,5.0
2224,Honda Jazz 1.2,2017,650000,25000,Petrol,18.7,1199.0,88.7,5.0
2225,Honda Jazz 1.5,2016,650000,61915,Diesel,27.3,1498.0,98.6,5.0
2226,Hyundai EON Era,2016,250000,110000,Petrol,21.1,814.0,55.2,5.0
2227,Volkswagen Polo 1.5,2016,550000,70000,Diesel,20.14,1498.0,88.0,5.0
2228,Maruti Swift Ldi,2007,250000,150000,Diesel,17.8,1248.0,75.0,5.0
2229,Mahindra Quanto C4,2013,350000,110000,Diesel,17.21,1493.0,100.0,7.0
2230,Chevrolet Beat Diesel,2014,185000,90000,Diesel,25.44,936.0,56.3,5.0
2231,Ford Figo Petrol,2010,229999,120000,Petrol,15.6,1196.0,70.0,5.0
2232,Toyota Innova 2.5,2016,1000000,65000,Diesel,12.99,2494.0,100.6,8.0
2233,Maruti Wagon R,2019,490000,10000,Petrol,20.52,1197.0,81.8,5.0
2234,Hyundai i10 Sportz,2009,150000,80000,Petrol,20.36,1197.0,78.9,5.0
2235,Maruti Ertiga VDI,2013,600000,184000,Diesel,20.77,1248.0,88.76,7.0
2236,Maruti Wagon R,2013,270000,80000,CNG,32.52,998.0,58.33,5.0
2237,Maruti Zen LXi,2005,60000,70000,Petrol,17.3,993.0,60.0,5.0
2238,Maruti SX4 Zxi,2008,150000,89000,Petrol,15.6,1586.0,104.68,5.0
2239,Honda Brio Exclusive,2014,335000,33033,Petrol,19.4,1198.0,86.8,5.0
2240,Maruti Swift VDI,2013,525000,69000,Diesel,22.9,1248.0,74.0,5.0
2241,Hyundai Grand i10,2015,465000,63063,Petrol,18.9,1197.0,82.0,5.0
2242,Tata Indica V2,2012,83000,90000,Diesel,25.0,1396.0,69.0,5.0
2243,Hyundai EON Era,2017,300000,8000,Petrol,21.1,814.0,55.2,5.0
2244,Hyundai i20 1.2,2012,350000,35000,Petrol,17.0,1197.0,80.0,5.0
2245,Hyundai i20 1.2,2011,300000,45000,Petrol,17.0,1197.0,80.0,5.0
2246,Fiat Linea 1.3,2011,250000,30000,Diesel,20.4,1248.0,91.2,5.0
2247,Maruti 800 Std,2006,114999,59000,Petrol,16.1,796.0,37.0,4.0
2248,Maruti Ertiga VXI,2018,700000,6200,Petrol,19.34,1462.0,103.0,7.0
2249,Maruti Celerio X,2020,250000,120000,Petrol,21.63,998.0,67.0,5.0
2250,Maruti Wagon R,2016,350000,70000,Petrol,20.51,998.0,67.04,5.0
2251,Maruti Omni 5,1998,80000,70000,Petrol,14.0,796.0,35.0,5.0
2252,Mahindra Scorpio S2,2017,850000,110000,Diesel,15.4,2523.0,75.0,7.0
2253,Chevrolet Spark 1.0,2007,90000,93000,Petrol,18.0,995.0,62.0,5.0
2254,Chevrolet Tavera Neo,2014,600000,110000,Diesel,13.58,2499.0,72.4,10.0
2255,Maruti Alto LX,2007,135000,57000,Petrol,19.7,796.0,46.3,5.0
2256,Hyundai Accent GLE,2005,150000,120000,Petrol,13.2,1495.0,94.0,5.0
2257,Tata Indigo CS,2012,259000,35000,Diesel,23.03,1396.0,69.0,5.0
2258,Tata Indigo CS,2012,220000,90000,Diesel,23.03,1396.0,69.0,5.0
2259,Tata Indigo eCS,2012,246000,35000,Diesel,23.03,1396.0,69.0,5.0
2260,Maruti Swift Dzire,2009,240000,120000,Petrol,17.5,1298.0,85.8,5.0
2261,Hyundai Creta 1.4,2018,946000,60000,Diesel,22.1,1396.0,88.7,5.0
2262,Tata Indigo eCS,2011,215000,70000,Diesel,23.03,1396.0,69.0,5.0
2263,Maruti Zen LX,1999,50000,60000,Petrol,17.3,993.0,60.0,5.0
2264,Honda Amaze S,2013,310000,100000,Diesel,25.8,1498.0,98.6,5.0
2265,Hyundai i10 Magna,2008,220000,35000,Petrol,20.36,1197.0,78.9,5.0
2266,Maruti Swift Vdi,2008,195000,90000,Diesel,17.8,1248.0,75.0,5.0
2267,Hyundai i20 Active,2015,650000,50000,Petrol,17.19,1197.0,81.86,5.0
2268,Hyundai i20 1.2,2011,350000,98000,Petrol,18.5,1197.0,80.0,5.0
2269,Hyundai i20 Asta,2013,360000,30000,Petrol,18.5,1197.0,82.85,5.0
2270,Hyundai Elantra SX,2013,550000,50000,Petrol,16.3,1797.0,147.5,5.0
2271,Hyundai Grand i10,2016,490000,26000,Petrol,18.9,1197.0,82.0,5.0
2272,Maruti Alto LXi,2011,195000,46000,Petrol,19.7,796.0,46.3,5.0
2273,Maruti Alto LX,2010,125000,80000,Petrol,19.7,796.0,46.3,5.0
2274,Tata Tiago 1.2,2019,459999,10000,Petrol,23.84,1199.0,84.0,5.0
2275,Maruti Alto 800,2015,275000,16700,Petrol,22.74,796.0,47.3,5.0
2276,Maruti Swift Dzire,2018,680000,70000,Diesel,28.4,1248.0,74.02,5.0
2277,Maruti Swift Dzire,2015,600000,7967,Petrol,20.85,1197.0,83.14,5.0
2278,Maruti Swift ZXI,2018,720000,20000,Petrol,22.0,1197.0,81.8,5.0
2279,Renault KWID RXT,2016,356000,9656,Petrol,25.17,799.0,53.3,5.0
2280,Hyundai i10 Era,2011,225000,50000,Petrol,19.81,1086.0,68.05,5.0
2281,Ford Freestyle Titanium,2019,725000,17000,Diesel,24.4,1498.0,98.63,5.0
2282,Chevrolet Spark 1.0,2010,130000,50000,Petrol,18.0,995.0,62.0,5.0
2283,Renault KWID RXT,2015,300000,10000,Petrol,25.17,799.0,53.3,5.0
2284,Hyundai i20 Sportz,2013,400000,43000,Petrol,18.5,1197.0,82.85,5.0
2285,Hyundai Verna 1.4,2013,550000,50000,Diesel,23.5,1396.0,88.7,5.0
2286,Maruti Wagon R,2006,120000,90000,Petrol,18.9,998.0,67.0,5.0
2287,Mahindra Xylo D4,2012,409999,100000,Diesel,14.0,2498.0,112.0,8.0
2288,Hyundai Santro Xing,2010,110000,80000,Petrol,0.0,1086.0,62.1,5.0
2289,Mahindra Bolero 2011-2019,2012,450000,120000,Diesel,15.96,2523.0,62.1,7.0
2290,Maruti Swift VXI,2019,610000,5000,Petrol,21.21,1197.0,81.8,5.0
2291,Ford Ecosport 1.5,2016,515000,68609,Diesel,22.7,1498.0,89.84,5.0
2292,Ford EcoSport 1.5,2018,925000,33360,Diesel,22.77,1498.0,98.59,5.0
2293,Nissan Kicks XL,2019,860000,14317,Petrol,14.23,1498.0,104.55,5.0
2294,Ford Figo Diesel,2012,225000,87237,Diesel,20.0,1399.0,68.05,5.0
2295,Ford Figo 1.5D,2017,500000,62960,Diesel,25.83,1498.0,99.0,5.0
2296,Maruti Swift Dzire,2017,600000,26634,Petrol,21.21,1197.0,81.8,5.0
2297,Ford Figo Diesel,2012,195000,163720,Diesel,18.5,1399.0,68.0,5.0
2298,Maruti Wagon R,2012,265000,67998,Petrol,18.9,998.0,67.1,5.0
2299,Ford Freestyle Trend,2018,650000,20706,Diesel,23.8,1499.0,98.63,5.0
2300,Ford Figo Aspire,2015,415000,100581,Diesel,25.83,1498.0,99.0,5.0
2301,Renault Duster 85PS,2015,600000,67303,Diesel,20.45,1461.0,83.8,5.0
2302,Maruti Ritz VXi,2013,340000,79139,Petrol,18.5,1197.0,85.8,5.0
2303,Hyundai Grand i10,2014,350000,84784,Diesel,24.0,1120.0,70.0,5.0
2304,Maruti Ritz LDi,2012,265000,130376,Diesel,23.2,1248.0,73.94,5.0
2305,Tata Safari DICOR,2017,625000,72000,Diesel,13.93,2179.0,138.03,7.0
2306,Hyundai Verna CRDi,2008,245000,127000,Diesel,16.8,1493.0,110.0,5.0
2307,Maruti Swift VDI,2014,395000,120000,Diesel,25.2,1248.0,74.0,5.0
2308,Hyundai Xcent 1.1,2014,490000,100000,Diesel,24.4,1120.0,71.0,5.0
2309,Maruti Ertiga SHVS,2018,955000,40000,Diesel,24.52,1248.0,88.5,7.0
2310,Maruti Swift Dzire,2013,525000,110000,Diesel,23.4,1248.0,74.0,5.0
2311,Tata Tigor 1.2,2017,550000,30000,Petrol,20.3,1199.0,84.0,5.0
2312,Tata Indica Vista,2014,200000,120000,Diesel,19.1,1405.0,70.0,5.0
2313,Ford Figo Aspire,2017,500000,15000,Petrol,18.16,1196.0,86.8,5.0
2314,Maruti SX4 S,2016,825000,33500,Diesel,23.65,1248.0,88.5,5.0
2315,Mahindra Quanto C6,2012,250000,70000,Diesel,17.21,1493.0,100.0,7.0
2316,Toyota Etios Cross,2015,600000,10000,Petrol,18.16,1197.0,78.8,5.0
2317,Mahindra Scorpio S7,2018,1325000,22053,Diesel,16.36,2179.0,120.0,7.0
2318,Mahindra TUV 300,2016,770000,50000,Diesel,18.49,1493.0,100.0,7.0
2319,Chevrolet Optra Magnum,2011,415000,78432,Diesel,16.52,1991.0,123.7,5.0
2320,Hyundai Santa Fe,2011,825000,125000,Diesel,14.66,2199.0,194.3,7.0
2321,Ford Aspire Trend,2018,530000,80000,Diesel,26.1,1498.0,99.23,5.0
2322,Toyota Innova 2.5,2006,425000,270000,Diesel,12.8,2494.0,102.0,8.0
2323,Honda Brio V,2012,310000,50000,Petrol,19.4,1198.0,86.8,5.0
2324,Tata Tiago 1.2,2017,390000,20000,Petrol,23.84,1199.0,84.0,5.0
2325,Hyundai Creta 1.6,2016,700000,30000,Petrol,15.29,1591.0,121.3,5.0
2326,Hyundai i10 Sportz,2010,200000,70000,Petrol,19.81,1086.0,68.05,5.0
2327,Toyota Innova 2.5,2013,1050000,7200,Diesel,12.99,2494.0,100.6,8.0
2328,Honda City i,2014,580000,97000,Diesel,26.0,1498.0,98.6,5.0
2329,Hyundai EON Era,2014,200000,60000,Petrol,21.1,814.0,55.2,5.0
2330,Chevrolet Sail Hatchback,2013,245000,25000,Petrol,18.2,1199.0,84.8,5.0
2331,Hyundai i10 Sportz,2010,210000,94000,Petrol,20.36,1197.0,78.9,5.0
2332,Maruti Baleno LXI,2005,50000,90000,Petrol,15.4,1590.0,94.0,5.0
2333,Chevrolet Captiva 2.2,2012,700000,50000,Diesel,12.12,2231.0,184.0,7.0
2334,Tata Bolt Quadrajet,2019,660000,35000,Diesel,22.95,1248.0,74.0,5.0
2335,Honda City i,2015,630000,117500,Petrol,17.4,1497.0,117.3,5.0
2336,Mahindra XUV500 W8,2012,950000,78500,Diesel,15.1,2179.0,140.0,7.0
2337,Hyundai i20 1.2,2018,740000,8000,Petrol,18.6,1197.0,81.83,5.0
2338,Ford Figo Aspire,2017,570000,25000,Petrol,18.12,1196.0,86.8,5.0
2339,Hyundai Verna 1.6,2012,450000,60000,Diesel,22.32,1582.0,126.32,5.0
2340,Datsun RediGO 1.0,2019,390000,10000,Petrol,22.5,999.0,67.0,5.0
2341,Ford Ikon 1.6,2009,180000,70000,Petrol,14.2,1597.0,92.0,5.0
2342,Tata Nano LX,2015,130000,60000,Petrol,25.4,624.0,37.48,4.0
2343,Honda City 2017-2020,2006,270000,70000,Petrol,17.7,1497.0,78.0,5.0
2344,Maruti 800 DX,1997,60000,25000,Petrol,16.1,796.0,37.0,4.0
2345,Hyundai Verna 1.6,2006,170000,90000,Petrol,13.9,1599.0,103.2,5.0
2346,Hyundai Creta 1.6,2015,978999,90000,Diesel,19.67,1582.0,126.2,5.0
2347,Tata Tiago 1.2,2018,490000,25000,Petrol,23.84,1199.0,84.0,5.0
2348,Ford Fiesta Diesel,2012,280000,60000,Diesel,23.5,1498.0,88.7,5.0
2349,Tata Tiago 1.2,2018,390000,25000,Petrol,23.84,1199.0,84.0,5.0
2350,Maruti Alto 800,2013,170000,60000,Petrol,22.74,796.0,47.3,5.0
2351,Chevrolet Spark 1.0,2008,45000,70000,Petrol,18.0,995.0,62.0,5.0
2352,Maruti Ertiga SHVS,2016,640000,80000,Diesel,24.52,1248.0,88.5,7.0
2353,Mahindra Scorpio S2,2015,650000,110000,Diesel,15.4,2523.0,75.0,9.0
2354,Mahindra Scorpio LX,2013,500000,115717,Diesel,12.05,2179.0,120.0,9.0
2355,Ford Fusion Plus,2008,90000,110000,Diesel,17.7,1399.0,68.0,5.0
2356,Tata Aria Pure,2014,480000,70000,Diesel,15.05,2179.0,147.9,7.0
2357,Maruti Swift VXI,2019,630000,4000,Petrol,21.21,1197.0,81.8,5.0
2358,Hyundai i10 Sportz,2011,250000,50000,Petrol,20.36,1197.0,78.9,5.0
2359,Hyundai Grand i10,2016,330000,70000,Petrol,18.9,1197.0,82.0,5.0
2360,Hyundai i10 Magna,2009,180000,70000,Petrol,20.36,1197.0,78.9,5.0
2361,Hyundai i20 Magna,2010,210000,50000,Petrol,18.5,1197.0,80.0,5.0
2362,Maruti Swift Dzire,2016,550000,55000,Diesel,26.59,1248.0,74.0,5.0
2363,Tata Nexon 1.2,2020,950000,5000,Petrol,17.0,1198.0,108.5,5.0
2364,Mahindra Bolero 2011-2019,2013,430000,100000,Diesel,15.96,2523.0,62.1,7.0
2365,Hyundai i10 Sportz,2014,348000,23000,Petrol,20.36,1197.0,78.9,5.0
2366,Maruti Alto 800,2014,196000,60000,Petrol,22.74,796.0,47.3,5.0
2367,Maruti Wagon R,2010,150000,70000,Petrol,18.9,1061.0,67.0,5.0
2368,Maruti Wagon R,2009,150000,60000,Petrol,18.9,1061.0,67.0,5.0
2369,Tata Safari Storme,2019,1250000,100000,Diesel,14.1,2179.0,153.86,7.0
2370,Maruti Ertiga VDI,2015,600000,90000,Diesel,20.77,1248.0,88.76,7.0
2371,Tata Nano Lx,2010,65000,26432,Petrol,25.4,624.0,37.48,4.0
2372,Maruti Omni E,2016,220000,46702,Petrol,16.8,796.0,34.2,8.0
2373,Maruti Omni E,2016,220000,46706,Petrol,16.8,796.0,34.2,8.0
2374,Tata Indica V2,2006,110000,53523,Petrol,16.84,1193.0,64.4,5.0
2375,Chevrolet Beat Diesel,2012,175000,56365,Diesel,25.44,936.0,56.3,5.0
2376,Chevrolet Spark 1.0,2011,160000,49563,Petrol,16.2,995.0,62.1,5.0
2377,Maruti 800 Std,2004,65000,56432,Petrol,16.1,796.0,37.0,4.0
2378,Maruti 800 AC,2002,60000,52365,Petrol,16.1,796.0,37.0,4.0
2379,Maruti Alto LXi,2007,120000,53512,Petrol,19.7,796.0,46.3,5.0
2380,Mahindra Ssangyong Rexton,2013,1000000,40000,Diesel,11.18,2696.0,184.0,7.0
2381,Maruti Wagon R,2010,220000,46533,Petrol,18.9,998.0,67.1,5.0
2382,Maruti Omni 8,2008,114999,58632,Petrol,14.0,796.0,35.0,5.0
2383,Mahindra XUV500 AT,2016,850000,80000,Diesel,16.0,2179.0,140.0,7.0
2384,Maruti Ertiga SHVS,2016,750000,70000,Diesel,24.52,1248.0,88.5,7.0
2385,Renault KWID 1.0,2017,265000,90000,Petrol,23.01,999.0,67.0,5.0
2386,Ford Classic 1.6,2014,450000,110000,Petrol,14.09,1596.0,99.6,5.0
2387,Mahindra Quanto C6,2013,225000,90000,Diesel,17.21,1493.0,100.0,7.0
2388,Mahindra Scorpio S10,2015,1125000,70000,Diesel,15.4,2179.0,120.0,7.0
2389,Maruti Swift VXI,2009,270000,80000,Petrol,16.6,1197.0,85.0,5.0
2390,Maruti Alto LX,2007,130000,78000,Petrol,19.7,796.0,46.3,5.0
2391,Mahindra Bolero Power,2017,660000,45000,Diesel,16.5,1493.0,70.0,7.0
2392,Maruti Alto K10,2015,240000,50000,Petrol,23.95,998.0,67.05,5.0
2393,Maruti Alto 800,2017,275000,58000,Petrol,24.7,796.0,47.3,5.0
2394,Toyota Innova 2.5,2012,750000,120000,Diesel,12.8,2494.0,102.0,8.0
2395,Chevrolet Aveo U-VA,2007,65000,30000,Petrol,14.7,1150.0,76.0,5.0
2396,Tata Safari Storme,2017,850000,162000,Diesel,14.1,2179.0,147.94,7.0
2397,Maruti Wagon R,2016,300000,50000,CNG,26.6,998.0,58.16,5.0
2398,Hyundai i20 1.2,2018,555000,25000,Petrol,18.6,1197.0,81.83,5.0
2399,Mahindra Scorpio 1.99,2015,825000,60000,Diesel,15.4,1997.0,120.0,7.0
2400,Hyundai Santro Xing,2010,150000,70000,LPG,13.45,1086.0,62.1,5.0
2401,Maruti Swift Dzire,2009,185000,138000,Diesel,19.3,1248.0,73.9,5.0
2402,Hyundai i10 Magna,2010,180000,70000,Petrol,20.36,1197.0,78.9,5.0
2403,Maruti Alto LXi,2010,160000,48000,Petrol,19.7,796.0,46.3,5.0
2404,Ford Endeavour 3.0L,2012,500000,110000,Diesel,11.4,2953.0,153.86,7.0
2405,Maruti Swift VDI,2014,375000,88000,Diesel,25.2,1248.0,74.0,5.0
2406,Toyota Innova 2.5,2015,900000,68000,Diesel,12.99,2494.0,100.6,7.0
2407,Hyundai Grand i10,2017,459999,70000,Petrol,18.9,1197.0,82.0,5.0
2408,Renault Duster 85PS,2014,480000,80000,Diesel,20.45,1461.0,83.8,5.0
2409,Maruti Swift VDI,2013,320000,100000,Diesel,22.9,1248.0,74.0,5.0
2410,Maruti Swift VDI,2013,370000,96000,Diesel,22.9,1248.0,74.0,5.0
2411,Maruti Zen LX,2002,75000,30000,Petrol,17.3,993.0,60.0,5.0
2412,Maruti Ritz LDi,2016,400000,60000,Diesel,23.2,1248.0,73.94,5.0
2413,Maruti Swift VDI,2014,425000,65000,Diesel,25.2,1248.0,74.0,5.0
2414,Maruti Celerio ZXI,2014,325000,48000,Petrol,23.1,998.0,67.04,5.0
2415,Hyundai Grand i10,2016,350000,65300,Petrol,18.9,1197.0,82.0,5.0
2416,Hyundai i20 1.2,2018,600000,40000,Petrol,18.6,1197.0,81.83,5.0
2417,Chevrolet Beat Diesel,2012,120000,60000,Diesel,25.44,936.0,57.6,5.0
2418,Maruti Alto K10,2012,200000,70000,Petrol,20.92,998.0,67.1,5.0
2419,Maruti Alto LXi,2008,100000,70000,Petrol,19.7,796.0,46.3,5.0
2420,Hyundai Grand i10,2014,350000,70000,Diesel,24.0,1120.0,70.0,5.0
